0,year,injury.type,size,t.ninj,c.ninj,location,mandatory,mandatory.category,ages,male,injury,car,additional values,helmeted,t.inj,helmeted_number
1,1989,head,668,103,330,USA,N,N,all,0.711077844,235.0,545.088,816,17.96407186,17,120
2,1989,serious.head,668,103,330,USA,N,N,all,0.711077844,99.0,545.088,816,16.01796407,4,107
3,1990,face,531,83,236,USA,N,N,all,0.713747646,212.0,433.296,816,21.28060264,30,113
4,1991,serious.head,284,115,131,USA,N,N,all,0.729,38.0,231.744,816,40.84507042,1,116
5,1993,fatal,35,2,4,Australia,Y,all,all,0.84375,24.0,27.615,789,11.42857143,2,4
6,1993,head,1710,206,876,Australia,N,N,all,0.806678383,523.0,1349.19,789,15.26315789,55,261
7,1993,serious.head,1710,206,876,Australia,N,N,all,0.806678383,69.0,1349.19,789,12.45614035,7,213
8,1993,face,1710,196,880,Australia,N,N,all,0.806678383,529.0,1349.19,789,15.26315789,65,261
9,1993,neck,1710,246,1300,Australia,N,N,all,0.806678383,59.0,1349.19,789,15.26315789,15,261
10,1993,fatal,1710,0,2,Australia,N,N,all,0.806678383,11.0,1349.19,789,0.058479532,1,1
11,1994,serious.head,1042,88,616,UK,N,N,all,0.658349328,104.0,492.866,473,8.829174664,4,92
12,1994,head,364,91,140,Australia,Y,all,child,0.771971496,95.0,287.196,789,32.69230769,28,119
13,1994,serious.head,364,126,140,Australia,Y,all,child,0.771971496,39.0,287.196,789,36.81318681,8,134
14,1994,face,364,126,140,Australia,Y,all,child,0.771971496,65.0,287.196,789,43.68131868,33,159
15,1995,serious.head,1538,16,622,USA/Canada,N,N,child,0.760394342,900.0,1154.269,750.5,1.690507152,10,26
16,1996,serious.head,699,92,531,Canada,N,N,child,0.642,76.0,478.815,685,13.73390558,4,96
17,1996,head,3390,1174,1137,USA,N,N,all,0.718879056,699.0,2766.24,816,39.46902655,164,1338
18,1996,serious.head,3390,1174,1137,USA,N,N,all,0.718879056,186.0,2766.24,816,35.95870206,45,1219
19,1996,face,3388,1133,846,USA,N,N,all,,206.0,2764.608,816,35.59622196,73,1206
